# step temp[K] press[bars] vol[A^3] density[gcc] enthalpy[eV] etotal[eV]
0 298.840773644683 625104.830176196 305.820937105313 5.04585528535846 -298.93462631952 -418.253655748264
100 321.666976819009 645723.335331341 304.351327266904 5.07022001751568 -295.070630898566 -417.732993101048
200 287.027048671312 673639.682032023 302.458944556147 5.10194265912894 -289.952873957852 -417.122600413423
300 268.593492219922 673244.768675196 302.390248198028 5.10310170735256 -290.257495919721 -417.323803968627
400 244.503287233857 639172.27496874 304.741215322771 5.06373314233749 -296.934941315361 -418.508398343719
500 255.592329893962 615638.986394575 306.163642853322 5.04020718294565 -301.477809131319 -419.121698401378
600 285.550180494267 632849.591297796 304.781114837841 5.06307023874214 -298.16247892902 -418.549092988342
700 236.828896031168 676686.557065428 302.220897005556 5.10596125931607 -289.778044810013 -417.42241998835
800 274.802192730405 689680.444195095 301.423079108609 5.11947590884406 -287.246091156432 -416.998089822171
900 258.968247493853 657332.629339284 303.528397052113 5.08396646525689 -293.26402492513 -417.794074712656
1000 332.115846473594 614875.537365729 306.098187471455 5.04128497007198 -301.249775927808 -418.722655793532
1100 277.082871501066 618312.098574703 305.953533430108 5.04366847660099 -300.498006838791 -418.57162190025
1200 343.487990373328 660595.544775958 303.501286502288 5.0844205955433 -292.409349169558 -417.546372273556
1300 333.596785935764 697523.964555748 301.300303014931 5.12156203105329 -285.402820084979 -416.576995889469
1400 272.974239466981 672444.405149219 302.567850550754 5.1001062705678 -290.166924690638 -417.156715316627
1500 279.128794069086 611126.265710735 306.810546603068 5.02958000939427 -301.946582900469 -418.974877614692
1600 267.236453319131 601977.46855528 307.448420486524 5.01914496559841 -303.878008855086 -419.394009667604
1700 239.16027068478 662782.107048955 303.347729738804 5.08699436516246 -292.415929459738 -417.903631647856
1800 291.051284108634 717460.739751165 299.632087955233 5.15007655687623 -282.183944051364 -416.36033440383
1900 268.334276279624 681302.846626977 301.750360239346 5.11392327963461 -288.985683419207 -417.300746960447
