# step temp[K] press[bars] vol[A^3] density[gcc] enthalpy[eV] etotal[eV]
0 2089.05990606313 926476.718197379 295.14598515894 5.22835569331945 -226.740871800807 -397.412382535852
100 2070.2431485159 748077.71236163 304.906743301739 5.06098413946531 -260.111093308003 -402.476144232667
200 1758.46558431518 737781.281410322 306.343137183593 5.03725399580705 -261.815473794863 -402.882473780551
300 1750.48518990411 942562.893066765 296.417041957652 5.20593614211487 -222.492064005618 -396.874664562983
400 2025.18703940385 759611.711036664 305.948422614975 5.04375273020476 -255.151292656906 -400.205226971589
500 2050.82869999371 737688.033006108 308.387868440759 5.00385504679006 -257.590555233326 -399.581178659028
600 2183.12077047549 946471.322507201 297.387475552673 5.18894815256873 -217.547190894829 -393.226160898082
700 1795.94520973244 786865.96664907 305.890573480748 5.04470659002914 -248.030270900322 -398.26021235232
800 2078.33251722144 708469.626548035 309.467626908873 4.98639617746032 -264.715523590926 -401.559631630731
900 1964.93580350324 946085.061134599 295.409539302173 5.22369113574108 -221.30421834035 -395.743521407422
1000 1901.50817972549 793344.471725908 303.328511830006 5.08731666059448 -250.453113440049 -400.651295710967
1100 1853.87387760979 667480.454569641 310.30955526076 4.97286714413096 -274.719990647466 -403.997609563207
1200 2279.47111181833 928130.151544249 294.418728271621 5.24127048888847 -225.561656720831 -396.116460694179
1300 1978.10164623555 809220.334498376 301.880620942028 5.11171663504183 -248.084704422017 -400.55725476668
1400 1863.28857098874 646261.196948567 312.556087072823 4.93712410568598 -279.358582083925 -405.432626326393
1500 1790.50163813638 946815.950712719 294.497726957847 5.23986452393569 -222.563017565747 -396.598241108427
1600 1973.43898690158 852048.188848014 299.213971978508 5.15727317699242 -240.224270660753 -399.348264117346
1700 1700.67996145434 627554.890909495 314.125146522575 4.91246310252089 -282.584725178156 -405.62408573419
1800 1676.83908229012 948813.722522986 295.965036076806 5.2138867898763 -220.979386276071 -396.250767186155
1900 2244.27879921297 876098.349403393 298.141348444157 5.17582750570793 -233.748752361736 -396.77769658906
2000 2402.34752260788 597658.971172703 314.894637631835 4.90045878034385 -286.245962500644 -403.710926663359
2100 2564.94337918263 884307.933363389 298.840852123692 5.16371232681203 -230.478830961318 -395.421542545252
2200 2816.93194639713 863125.376121539 298.825074070706 5.16398497236211 -235.143624324022 -396.126827143327
2300 2035.30700475572 671040.661958201 311.663739697608 4.95125994882607 -272.260666405591 -402.795000291434
2400 1683.11185187124 836035.158233275 300.850375943741 5.12922141787414 -242.325123054694 -399.312503444223
2500 1892.18304301743 875302.86088354 297.693120054258 5.18362060764074 -237.045283770446 -399.681322714244
