# step temp[K] press[bars] vol[A^3] density[gcc] enthalpy[eV] etotal[eV]
0 2155.10746782154 665727.626179019 310.814030294316 4.96479579896989 -274.117515290737 -403.265263101898
100 2176.19229246636 563128.814780916 317.18505501211 4.86507219518021 -294.430961407775 -405.914336738264
200 2382.57516554822 538315.494955595 318.570751566371 4.84391044776949 -299.43721656245 -406.473845677798
300 1727.07535100207 667456.888645764 312.0278572395 4.94548212944231 -274.000599927976 -403.989488645219
400 2033.05448535805 598166.04928198 316.202692812859 4.88018675027351 -287.583326153449 -405.636309412279
500 2017.16999945241 543698.422301976 320.085364648602 4.8209895305904 -298.266669060901 -406.887602997579
600 2193.15556095417 645204.722529612 312.581353914031 4.93672502388139 -277.785794964298 -403.663914959213
700 1910.10362039192 638356.830639151 313.8394382836 4.91693523384298 -278.710204713474 -403.753574874184
800 2086.41453722329 511610.006066786 322.370496415899 4.78681581913528 -303.319515918726 -406.259467682524
900 2319.37379555783 609474.226307877 315.858770740288 4.88550053002943 -283.285162340494 -403.439077916896
1000 2262.18126810347 676443.446158069 310.035276638947 4.97726648591405 -270.343839990381 -401.241609967795
1100 2023.00616461437 526753.790314391 321.597803203331 4.79831695520158 -300.030948335692 -405.76390709157
1200 2005.69126177809 536801.204585303 320.972749464268 4.80766106917718 -298.876711821625 -406.417022487444
1300 2064.54515654506 708034.919920794 307.974566290479 5.01057022484985 -266.868169740517 -402.968497876101
1400 1824.74886844792 589468.620298137 315.383592921466 4.89286134884759 -290.667660339338 -406.702773439602
1500 1666.07624826055 502512.772032064 322.937542708202 4.77841064536882 -308.462875986609 -409.750243376856
1600 1400.245866592 677993.598512419 309.797643970258 4.98108433650408 -274.281761192493 -405.378940214944
1700 2013.75398221975 657994.034181436 310.743523082239 4.96592230325499 -276.759587993279 -404.378102151135
1800 1572.86876638341 504806.760887853 324.40340625324 4.75681870819046 -305.288269397188 -407.499875129568
1900 2202.06860243114 600420.623491096 316.960361846438 4.8685210443246 -284.66423646061 -403.446117284477
2000 2295.90503610239 706789.320835799 308.983045863976 4.9942163899357 -263.432652268585 -399.738432022549
2100 1967.72965315369 544591.681303472 321.493246060509 4.79987748039873 -295.570467459562 -404.848407436713
2200 1935.9270683185 527231.151111182 321.544338622896 4.79911479230205 -299.797893735398 -405.609077325616
2300 1998.91279056686 734395.768430331 307.995849519779 5.01022398279761 -260.368572903238 -401.545808108866
2400 1857.25421070035 584945.839036848 316.654433266042 4.87322465676532 -290.473249602822 -406.082043734769
2500 1820.6819891881 508855.678616235 322.447177008163 4.78567747494051 -306.265066998897 -408.675180412979
2600 1857.16314408681 670189.677734231 309.785987498133 4.98127176225303 -274.886090342008 -404.469423469135
2700 1980.88036565735 642030.428671611 311.861097511827 4.94812659923894 -280.110539779764 -405.080737583512
2800 1720.99871432043 523602.655317577 322.095147179901 4.7909079207711 -302.55531817398 -407.818299080455
2900 1818.40229282275 653877.899226003 313.423656274017 4.92345794893354 -274.779371995295 -402.69337019224
3000 2266.59556616169 673678.183584332 311.893665065039 4.94760992194034 -269.196090368504 -400.340167037008
3100 2127.27995643541 505467.618889628 323.575356575631 4.76899170628106 -302.411138403539 -404.495312662522
3200 2314.68457298939 597990.293532799 316.948261666282 4.86870691056479 -284.563808562857 -402.860378278198
3300 1943.98717698095 716309.979579628 309.827725112495 4.9806007235338 -262.646925071593 -401.166427416394
3400 1946.41344123637 515970.484936514 321.441609358399 4.80064853752512 -303.340909437188 -406.859081785507
3500 1831.89796967249 564542.372982134 317.879630432157 4.85444188345205 -294.346877963439 -406.354837690006
3600 2110.9872676539 705823.629150371 307.954646611442 5.01089432760903 -267.08970984793 -402.756202450342
3700 2493.14336636513 535789.403224653 318.221451226516 4.84922743554359 -300.335566359538 -406.753106153648
3800 1881.33436869177 521347.12411407 321.576374372428 4.79863669984343 -303.159666443803 -407.800396077583
3900 2166.58905092795 706346.977752243 308.617321585362 5.00013474272635 -266.69751736433 -402.756754523165
4000 1830.20629672013 630281.842972672 313.340319883719 4.92476739807624 -281.035920446717 -404.30118759672
4100 1995.84318675839 491395.216766952 324.201897860927 4.75977531916878 -307.847660445052 -407.281937427412
4200 2449.16336245534 643561.440365213 313.565889115376 4.92122467855019 -275.615639780412 -401.568626388622
4300 2571.09941209374 667746.831262944 312.702593004992 4.93481098777292 -268.62589218123 -398.952460825065
4400 2063.06320200441 508767.764319408 326.244858957956 4.72996937574728 -299.894966109211 -403.493332152366
4500 2341.59983959204 594371.885569967 318.268628668999 4.84850862719173 -283.73617909821 -401.806769285846
4600 1917.34378110171 715171.710128317 309.096595635669 4.99238171385428 -261.743489067522 -399.71651569449
4700 2074.20145218903 541751.248810407 320.628776713838 4.81281876094162 -297.115998418696 -405.531669344636
4800 1866.94043057097 550294.85213596 321.058000938204 4.80638447681338 -295.990251489805 -406.263099177532
4900 1794.66878937252 694080.279592957 309.520571701998 4.9855432334618 -268.147138974173 -402.234815922808
5000 2338.96086206041 613394.923144231 314.814907041656 4.9016998793578 -284.371991959763 -404.899203355932
5100 2207.9445758158 477567.640222213 322.942938685183 4.77833080403848 -311.892374422121 -408.153365114663
5200 1930.74104288416 664752.014214342 311.091242634701 4.96037168644487 -275.09233574875 -404.165836793023
5300 1872.88742414816 666402.172293561 310.483310942323 4.97008417999246 -275.155011104056 -404.296059467242
5400 1844.81772168146 492813.47870604 322.981915202851 4.77775416898171 -309.504130005258 -408.850139131129
5500 2135.12302952361 606093.777036772 314.332856511971 4.90921696506567 -287.010316145913 -405.920553719675
5600 1921.94284333565 737593.965375207 306.949253164975 5.02730720454543 -261.128591035218 -402.438812980748
5700 2165.00698150668 492354.347009906 323.427467130613 4.77117236070412 -308.182579449057 -407.572952097864
5800 1930.82997557075 533677.745774467 321.270817526856 4.80320062601741 -298.566804939136 -405.58066120332
5900 2718.69430681642 737459.768873588 305.930701149769 5.04404489666004 -257.752172620472 -398.567859382351
6000 2074.35888116786 568597.428331713 319.11054726411 4.83571666651607 -290.276878233609 -403.526221566194
6100 2302.49580986911 443098.661354072 327.580994890479 4.71067679729722 -316.134228011428 -406.730176910321
6200 2334.43006876449 728112.452942257 306.925031674175 5.02770394271482 -261.082086555131 -400.564807517312
6300 1943.1484696308 661080.312558133 310.891355185685 4.96356095506247 -276.096634816412 -404.374732927184
6400 1680.77276778078 439850.96935141 327.302049006767 4.71469151063645 -320.76145775204 -410.616803605839
6500 2000.80769184788 650362.446286923 310.980411743755 4.96213952259362 -278.885475117688 -405.119995052903
6600 1945.27581696775 733487.320809353 306.032085320064 5.04237387479237 -262.662220038415 -402.765794359417
6700 1770.24024148863 472307.267088496 325.530599531699 4.74034758663557 -313.345133746741 -409.308635781939
6800 2203.20151290019 553727.213714061 317.856602188814 4.85479358062686 -296.261214159931 -406.115434772099
6900 2285.81615035341 752093.522358988 305.590813999601 5.04965503272012 -256.62495240488 -400.075359835965
7000 1932.98260695406 525408.736311092 322.079282800333 4.79114390236256 -300.397248672145 -406.018114393309
7100 1981.64338247751 523431.944065085 322.361945197349 4.78694279785855 -300.595779395567 -405.911604254595
7200 2165.36821542165 730496.633417939 308.741709443934 4.99812025607232 -259.728481598116 -400.496230559915
7300 2222.94539992869 587720.084747188 317.750902085507 4.85640853177142 -288.309794985495 -404.869104838179
7400 1920.7755300383 492126.466989956 322.732011794645 4.78145376185372 -309.391961390825 -408.522715554963
7500 2276.62918360781 672221.182762897 309.076627285407 4.99270425402037 -275.153301624187 -404.831808304421
7600 1641.16758623137 644342.923583739 311.161933537212 4.95924477112036 -281.120139501943 -406.259279892116
7700 1632.94866557993 525987.782427556 320.645166900804 4.81257274756775 -304.331006815773 -409.597461719005
7800 1633.90453456845 619483.23002824 313.175381380977 4.92736110054868 -285.170403468746 -406.259994299228
7900 2183.77105158555 660838.639067273 310.013373407007 4.97761814242831 -275.813599549963 -403.682667517781
8000 2217.50507782065 528308.819908315 320.952705990648 4.80796130726839 -300.637232231151 -406.469607970216
8100 2075.71564010071 563468.549867083 318.82569719511 4.84003706552481 -292.879388366074 -405.007018036645
8200 1889.7046556148 690591.357229523 310.757144251643 4.96570463595372 -267.707131789567 -401.653796228543
8300 1973.91347388571 591910.233774607 318.028592867504 4.85216809580708 -287.038821078988 -404.531730724844
8400 2013.62561437059 535260.501374072 321.440637326077 4.8006630546241 -298.771358795262 -406.159325537476
8500 2062.5274374545 663017.477345619 311.591453061085 4.95240860012808 -274.087968966482 -403.031677210247
8600 1842.85235411912 618609.866637161 314.331298394309 4.90924129970144 -283.335717974237 -404.700900012289
8700 1863.33442447239 517956.687141776 320.727655455937 4.81133499283825 -304.245919165951 -407.93177019092
8800 1796.36914972948 630100.580023522 311.828772605341 4.94863953371984 -283.994313475479 -406.629672617651
8900 1427.25375968427 649178.588576736 310.149446770131 4.97543428800574 -281.788709351522 -407.456749109994
9000 1456.96158483721 540732.077929137 317.824158404256 4.8552891624536 -303.059199465248 -410.324358821918
9100 1595.21409214428 612323.123782122 313.523830990256 4.92188484362479 -288.403443208246 -408.22662846411
9200 1428.69475018513 661145.776076862 309.557758390519 4.98494432796417 -278.140692292871 -405.881178070633
9300 1824.31927814832 552893.66236695 317.051778960389 4.86711727947413 -298.294031764749 -407.705147974084
9400 2147.07075697315 559987.652186648 317.174683641012 4.86523127934346 -295.983619318205 -406.841509460254
9500 1935.73346275073 641329.73090965 310.886709345612 4.96363512970453 -279.509767221309 -403.953540830526
9600 1914.59388792911 605771.47193525 315.043782939185 4.89813884746299 -285.602995000757 -404.71879536053
9700 1768.44351226125 537463.608375458 321.76054166092 4.79589008615081 -298.422026082637 -406.359311240621
9800 2607.02008493878 607318.851900254 313.665996022834 4.91965406334255 -284.219082679721 -403.116889871835
