# step temp[K] press[bars] vol[A^3] density[gcc] enthalpy[eV] etotal[eV]
0 1947.11095568112 666960.328192073 310.047902490905 4.97706380036352 -275.444894285389 -404.512853277796
100 2169.94363263024 701711.800547092 307.349091255193 5.02076705535093 -268.542142399971 -403.153082094315
200 2343.37859860869 707366.917495185 307.192220840591 5.02333095429159 -266.929610700166 -402.556125216207
300 2003.02616257399 664963.587256707 311.136485262601 4.95965039446824 -274.199911884897 -403.333271016468
400 2211.40489662702 711746.511220138 308.627959796189 4.99996239124015 -263.457046416212 -400.561088105705
500 2319.99816258631 728302.622824348 308.680893595109 4.99910497826346 -258.574992536535 -398.892307402332
600 2465.15082161664 642540.200231144 313.469675344463 4.92273515825868 -274.875411989238 -400.589943417094
700 2301.90135493122 706972.367905201 309.655017625098 4.9833786117892 -263.239155985125 -399.876749311541
800 1929.05324036223 736295.97762567 306.224833177324 5.03920004088156 -259.829003380624 -400.557639031912
900 1909.2156646392 678048.601392372 310.497461629447 4.96985767216261 -272.580198685961 -403.984179204792
1000 1831.48407079358 693112.484169475 308.634751288827 4.99985236731177 -269.900306230868 -403.417805187335
1100 2081.38755198741 751556.736096677 304.677769047118 5.06478761706922 -258.789540585627 -401.709268634484
1200 2215.1851513093 652138.100792336 311.165037371223 4.95919530324724 -277.801056032711 -404.455376892021
1300 2161.92059600285 664550.914811092 310.06915583791 4.97672265303549 -274.949801367041 -403.560314108169
1400 1886.65372400948 795841.193119021 303.295098843505 5.08787711291816 -249.480831785607 -400.135103228714
1500 2109.79265501705 660886.415346919 311.385952538096 4.95567696387115 -274.755336443275 -403.199828022254
1600 1870.19166022494 670290.085660797 313.076749117077 4.9289134252798 -271.857983590423 -402.837461184863
1700 2232.91067802453 758162.040408065 305.497602304605 5.05119575481152 -254.399391932581 -398.963168459719
1800 2540.55819665829 703485.610763365 309.260225235537 4.98974024445222 -264.333675289839 -400.124031991887
1900 2115.04460654617 610090.918355632 315.143065244968 4.89659574348117 -282.516636468525 -402.519596247745
2000 2263.40029439128 740546.237341388 306.940269175049 5.0274543513418 -258.401151585841 -400.272825166208
2100 1891.57312882929 752748.127586795 305.746482160711 5.04708404479696 -258.052064114225 -401.700464875767
2200 1909.81067946975 612322.038693295 313.55123578559 4.92145466433858 -286.243509185759 -406.076955707434
2300 1856.30617280844 716514.430041706 307.455700144677 5.01902612682081 -266.466415032975 -403.964653056212
2400 1829.13586984192 784972.715396525 303.5942312388 5.08286401085247 -253.457024296415 -402.200429329656
2500 1812.05196198333 649005.508968613 312.437688694051 4.93899503070898 -278.80569250846 -405.36714261827
2600 1986.21851074264 675822.997643936 310.138457824145 4.97561057952092 -272.595961239931 -403.417192391044
2700 2341.52125763739 781920.935341154 303.925085822757 5.07733077606514 -251.068506583655 -399.395103172839
2800 2433.19122340295 655390.931903847 312.630737684532 4.93594520901925 -273.981637222087 -401.867266872036
2900 2074.36973739832 643806.719447796 314.269824410497 4.91020159113493 -275.737276338887 -402.021131254471
3000 2378.36781052047 792406.620784255 304.574680805345 5.06650187660326 -247.403681894529 -398.040639553942
3100 1843.37829829775 718745.654474305 308.870966720783 4.99602862725876 -262.156367078389 -400.717671106903
3200 2420.34618305285 595291.939324639 315.29770179104 4.89419422691768 -286.73359372845 -403.883096522799
3300 1877.52918577346 774130.83936606 304.851625025233 5.06189918370417 -252.647830692129 -399.94436410333
3400 2093.62930351237 751030.602219315 306.38652072005 5.03654073370968 -257.368705170171 -400.989369415503
3500 1952.46513337132 597905.417121216 316.318622336787 4.8783981811325 -287.366315448757 -405.411123765123
3600 1900.51941629406 772268.419041027 305.444979314645 5.05206599017794 -254.29285398403 -401.521022216019
3700 1752.05968354457 788808.535967617 303.312358119914 5.08758759923672 -251.454000569349 -400.785473818054
3800 1996.23071806225 575624.989640893 316.179108427919 4.88055077243636 -293.128087453229 -406.723934111502
3900 1962.15713678086 722014.658001699 306.569696292904 5.03353139767531 -265.125771688465 -403.280222476257
4000 2119.03884270306 807301.556289465 301.17176313708 5.12374790980572 -249.095460742397 -400.849298781469
4100 1923.30115188507 581733.601295017 315.508897958049 4.89091813845231 -292.517969185347 -407.075964168894
4200 1977.11311947439 670581.50270212 309.640172645622 4.98361752831149 -274.662816175562 -404.260879977924
4300 2335.18910199729 826909.399691913 300.607614380674 5.13336362102919 -243.754267994424 -398.902756285408
4400 1876.44449790987 610775.041260344 315.564988851277 4.89004878989723 -283.90580631343 -404.20417486768
4500 1955.3949991879 627266.553428631 314.004479895611 4.91435087925855 -279.698167508376 -402.633754109022
4600 2563.34165195058 847021.921664268 301.034177037134 5.12608969205435 -237.029741376227 -396.177342854974
4700 2213.69644281549 616471.965849494 314.363799775772 4.90873374404685 -281.935621909769 -402.893874411717
4800 2113.23893960081 605818.547974261 316.004211820256 4.8832519762232 -285.239143245219 -404.727359904681
4900 2484.61704886643 810906.274752697 300.422539579808 5.13652602106503 -247.662197015267 -399.714434969329
5000 1698.17278035653 709351.911158499 308.202642026669 5.00686230889803 -268.099121866882 -404.553584371929
5100 1456.4028663981 588263.520488973 316.004092093299 4.8832538263793 -291.774401208069 -407.800119787592
5200 1927.39232282816 781364.806888348 302.811989341698 5.09599436673833 -254.228411770272 -401.906667927101
5300 2149.26181645231 734640.550038761 305.975048599559 5.04331382225114 -262.332090099655 -402.629790135398
5400 1903.63580039357 589996.132799426 316.336941345155 4.87811567407935 -289.695928538962 -406.185948243558
5500 2438.73141294284 715141.056595823 306.982444788007 5.02676364093641 -264.436090077871 -401.459539068706
5600 2167.31723167169 775633.934353721 304.760091180687 5.06341951102523 -252.040708972139 -399.578928735365
5700 1968.70651234319 619662.655388674 315.646905572645 4.88877972387083 -281.801750368883 -403.882307456297
5800 2154.81241928006 703050.94186872 309.626052149342 4.98384480619163 -265.548896797653 -401.415879986265
5900 1827.42801008753 782020.274129128 304.33723970602 5.07045471450268 -250.652147094337 -399.198759544716
6000 2056.31614252025 629299.894321025 313.204121897096 4.92690895164246 -281.787619964264 -404.807350194206
6100 1851.84062218454 671300.151301387 309.755267961793 4.98176577276631 -275.584619752579 -405.36979526174
6200 1851.83540243845 789526.176368757 302.078872379848 5.1083618649295 -253.650309479818 -402.509799724399
6300 1478.72944817139 663469.010543059 310.174194307785 4.97503731833629 -277.914815482729 -406.359444269493
6400 1901.1473793835 653272.672250529 310.509189507853 4.96966996149752 -279.463600889424 -406.070855451041
6500 1700.07583902055 784853.927039027 303.334847950522 5.0872103956807 -252.786686335351 -401.380518926051
6600 1943.71303712144 675155.906373616 310.819951318669 4.96470122113888 -272.611411036495 -403.590692003079
6700 2075.91470615869 629353.993139746 312.873579467595 4.93211409698448 -280.742617183775 -403.643082011374
6800 1970.42137857719 797445.656642485 304.467404908703 5.06828700539829 -248.039496401942 -399.580983643612
6900 2131.30452127971 672709.942262855 310.150273147287 4.97542103125379 -272.058667281728 -402.282255220834
7000 2164.28453374212 650441.630406121 312.669605338656 4.93533162647753 -276.816370460147 -403.752028220022
7100 2266.31347332362 739569.570187118 305.560434662972 5.05015707798742 -259.950887063853 -400.998517789858
7200 1862.11793018634 711023.577070767 308.344783778876 5.00455422969875 -266.048615301809 -402.887728304383
7300 1722.53249351194 638896.556993471 312.531726973603 4.93750892688235 -281.14032060499 -405.767940792066
7400 1933.22487358143 740016.922965546 304.931555706993 5.06057232511843 -263.235771697085 -404.078251641952
7500 1170.31341062735 748718.619737188 304.980496741429 5.05976024156859 -262.85367834289 -405.375164937535
7600 1472.22103275752 632181.81588078 311.238478876326 4.95802510485633 -285.572135384202 -408.379645510588
7700 1840.9405171737 726204.95748885 305.17252951454 5.05657633837779 -266.734426562463 -405.057391493525
7800 1859.15314460216 745197.442733212 304.699081077596 5.06443336293863 -261.925907695394 -403.646233778184
7900 1554.84626653923 619963.124931182 313.395084782667 4.92390680899238 -285.374151608699 -406.642561237685
8000 1904.54797406297 729226.06277453 306.882647895257 5.02839832245193 -263.283910154233 -402.960671770997
8100 1852.46872731449 770998.471976018 305.018958491498 5.05912222472273 -254.634465650869 -401.415516877535
8200 1677.93320387235 637554.336473898 314.661329356728 4.90409226650375 -279.94917590969 -405.162406194882
8300 2184.84297974237 711073.98166339 309.08127923695 4.99262910932602 -264.663878175921 -401.839561307356
8400 2115.20656605109 816231.625132523 303.593514358542 5.08287601310118 -244.007653789827 -398.673901612439
8500 2153.76528356587 592185.982420816 315.592429956292 4.88962359483665 -287.336997758843 -403.984204342037
8600 2151.77612004205 686474.352298473 310.549915642043 4.96901822908499 -268.617310719387 -401.676653555034
8700 2258.34383196216 809104.647724489 302.926253309533 5.09407215454957 -245.752190524564 -398.730991218813
8800 2085.52479463027 596103.766168557 313.824338561033 4.91717181319258 -289.054809021501 -405.815896287222
8900 1697.43433177282 668916.118287837 309.927170357143 4.97900261564 -276.083786253804 -405.479817057672
9000 1836.50969964744 818674.503435014 301.144880865018 5.12420529093368 -247.303596284945 -401.181546563311
9100 1870.06302972552 641020.967646658 311.69569755844 4.95075230089372 -281.517332633054 -406.224864955624
9200 1811.1583896064 656713.666718897 311.14687867958 4.95948472443214 -277.854257988312 -405.389774572038
9300 2158.69018278517 788726.007799521 303.022128411615 5.09246040860088 -250.69771941215 -399.870693561382
9400 2081.83155533989 679137.684599956 311.505943091067 4.95376806154544 -270.504899207125 -402.547420695858
9500 1953.75643037667 639846.288190216 314.008119051371 4.91429392503595 -278.035028972943 -403.437523290274
9600 2202.4968286369 782417.29795963 304.923772135881 5.06070150272989 -249.881093680525 -398.789552816091
9700 2263.95730118633 687363.332230692 310.738893471518 4.9659962891242 -268.474331680073 -401.787060502559
9800 1955.04021227578 626501.976421963 314.243711829462 4.91060961214577 -281.061797600421 -403.941084956921
9900 1908.54927835109 773744.141059377 305.499084090852 5.05117125459929 -253.002197219776 -400.537831660989
10000 1982.67926057605 712411.708729895 308.752427571182 4.99794674978015 -265.227928465645 -402.515452343625
10100 2027.52989015404 642073.896411865 313.73917842019 4.91850651116136 -279.573073489931 -405.304375094535
10200 2098.01687953749 721844.143795689 306.790983200701 5.02990073491376 -264.745815248627 -402.967337404736
10300 1937.96500178035 738485.288785766 306.344257229228 5.03723557876734 -261.789509704025 -402.991635230012
10400 1815.89882520705 642794.778575975 312.029701809725 4.94545289411941 -280.963740878374 -406.150362379756
10500 1563.83711258454 708940.307431459 307.064157428282 5.02542597218151 -268.989489656653 -404.861010783313
10600 1592.15892931146 745771.621863815 305.253971221508 5.05522724468128 -262.078854918959 -404.166664344596
10700 1640.24478362799 673065.207970614 310.126205368718 4.97580715577211 -275.679224119641 -405.961473867801
10800 1673.48794969194 707898.763390654 308.535509295847 5.00146059488554 -267.823433657541 -404.145434069253
10900 2042.441090305 725312.465591773 307.250794565909 5.02237331573475 -262.923474141852 -402.017282696422
11000 2389.1336684567 686882.607827165 310.523138774812 4.96944671483944 -269.216017818909 -402.343013098342
11100 1923.19078211087 693849.728227681 310.416256663976 4.97115778809403 -267.421740227467 -401.852769095856
11200 2361.3525208088 719584.225119926 308.181544697929 5.00720506602253 -262.333031215211 -400.746357111403
