# step temp[K] press[bars] vol[A^3] density[gcc] enthalpy[eV] etotal[eV]
0 1911.7783283485 12818.2984761578 584.874554364026 2.63839173777028 -268.572215024876 -273.251535067922
100 2230.04826183718 31837.9703467028 600.030851994057 2.57174808051604 -261.727144504043 -273.650777432684
200 1763.95325847048 -16539.5508185067 641.880752462068 2.40407300880596 -280.26165937396 -273.635411064384
300 1680.77768261973 -73236.3078744014 664.763609344219 2.32131869159986 -302.597645316856 -272.210960480553
400 1718.70059589511 -6736.54702386271 637.800531353673 2.41945265958147 -273.116806788925 -270.435096458441
500 2341.53155846479 44233.7572588821 598.768927526585 2.57716812099874 -252.685013248345 -269.216150357379
600 2355.25106325684 44176.3734574118 587.439268166812 2.62687272623376 -253.002313553784 -269.199615470325
700 2273.57237366261 7678.73071195669 610.979146428673 2.52566425693265 -267.577025111075 -270.505257010648
800 1786.19058122472 -6908.03577442665 646.952221605707 2.38522744080876 -274.223012859487 -271.433576682389
900 1979.4607637224 -15766.9181481536 670.893668236096 2.3001084447902 -278.619814390309 -272.017592005201
1000 1847.49602057212 -20856.4532171097 672.84967928477 2.2934219029523 -281.259132664053 -272.500261304905
1100 1912.65515503899 503.654767120639 650.838799024116 2.37098371237229 -272.555466854329 -272.760062330393
1200 1883.63306791854 785.214330828119 627.091962137001 2.4607685714986 -271.550034352638 -271.85736728095
1300 2206.92019295416 28769.2362494265 623.116780156936 2.47646707809325 -258.671896889831 -269.860797650338
1400 2552.63801894373 623.398286592975 641.559400065243 2.40527719133909 -268.099447829272 -268.349075152322
1500 2173.55403422542 -38298.9102546051 664.924138335287 2.3207582683485 -283.639521308392 -267.744974171904
1600 2006.51475112655 -29046.7007294171 660.19638410267 2.33737752739061 -280.733036074131 -268.763988474398
1700 2407.74631313478 -13595.2321757615 632.364084704829 2.44025274235239 -274.835939027911 -269.470027999273
1800 1859.26149838549 42348.6201283776 619.633469288641 2.49038870291768 -253.618463258446 -269.996572917234
1900 2010.25491049959 33608.8563659008 636.45414871283 2.42457087440934 -257.36523460311 -270.716133251025
2000 2496.69561816383 13405.9573928862 652.650360769516 2.36440257237684 -265.537317701448 -270.998265935883
2100 1972.62447692296 -8363.05668940433 654.960678704152 2.35606234395509 -274.542448119557 -271.123677912072
2200 1838.72962156999 -11382.9726794004 652.184144031102 2.36609277608032 -275.767519455293 -271.133951122812
2300 2087.16335444475 -4353.63028352401 636.791632245449 2.42328591288921 -273.10452929799 -271.374161055516
2400 2224.08162005535 21637.0532195121 623.627457255866 2.47443914457569 -262.792307071859 -271.214263380539
2500 1652.47851036234 -8701.74903564525 625.183217059886 2.46828153692792 -275.011587055771 -271.61608883435
2600 2146.20505411082 -7168.95278496233 623.178452320293 2.47622199727953 -274.634260096798 -271.845842652596
2700 1855.34417796174 -6411.26774476751 617.093167334977 2.5006405410878 -275.094205289845 -272.624845940702
2800 1971.22395406425 -18860.1206972925 604.548619302036 2.55252951143564 -280.851718173274 -273.735236357807
2900 1283.90508193822 24881.9440060131 589.525952636817 2.61757465462556 -265.681356259216 -274.836746906627
3000 1719.01286044634 37071.2265078677 596.915368255271 2.58517081973705 -261.233757602751 -275.045210225242
3100 1898.09969845808 -16517.7510178423 613.676687160505 2.51456218584122 -280.119726704452 -273.79298384936
3200 1848.27715443488 -35491.6947694946 627.299602911084 2.45995403903491 -286.01758566842 -272.121534867809
3300 2057.21465000006 -15841.4395755489 626.139108847835 2.46451334864811 -276.966256631018 -270.775337678767
3400 1696.0746178098 -12822.5721803879 614.82521465447 2.50986484465077 -275.353928356312 -270.433346452115
3500 2505.43956744974 21843.1550347524 598.162986685505 2.57977879978295 -261.867081982249 -270.022092902844
3600 2306.77856775903 -11980.8727065617 595.101009555544 2.5930525525719 -274.767935843671 -270.317845954679
3700 1736.8579318094 -14170.5204687882 600.913704348895 2.56796971128848 -275.597332990161 -270.282525322309
3800 2165.57089550511 -31913.9365038146 609.414884439867 2.53214719769186 -282.137403556577 -269.998398942233
3900 2235.90735114112 -6358.03577053302 604.829574863484 2.55134380988962 -273.643930391934 -271.243740355406
4000 1849.69942662129 10913.9898185749 609.125320477039 2.53335092137955 -269.288713623195 -273.438061429709
4100 1862.94547556476 -24466.4915313977 605.428043247537 2.54882179488866 -283.869522549012 -274.624161571
4200 1832.0729059522 39122.0343356251 583.602547423988 2.64414231685153 -260.775690389999 -275.026129651016
4300 1666.75229188682 1624.12067302715 574.946590132136 2.68395050662266 -274.103409232229 -274.686230564909
4400 1857.78168056738 3059.75001916841 581.929437025782 2.65174451348085 -273.168246744316 -274.279584107018
4500 2277.41909465466 1587.09302365557 596.065044298841 2.58885872712318 -272.661515835772 -273.251969305444
4600 1880.52175190172 5524.08709829967 602.468238997834 2.56134363934771 -269.744846803986 -271.822075515169
4700 1575.76578950527 8866.82164289878 614.917187251684 2.50948944647813 -267.354153553296 -270.757249919092
4800 2441.50751753945 -28959.942829032 632.557128595124 2.43950802561237 -281.593829936968 -270.160121927762
4900 1948.60062373556 -16532.5922813407 629.71852478027 2.45050467969728 -276.701806249393 -270.20384574242
5000 2215.19642821855 10422.7259609684 610.200753536211 2.52888608039804 -266.602723362945 -270.572295526365
5100 2241.15281012047 4195.57888468809 597.109113359388 2.58433200455499 -269.646549126226 -271.210183587139
5200 2045.47195864707 51988.2595572803 588.491916550313 2.62217398144022 -252.88163801971 -271.977330975498
5300 1901.6650384941 25619.5805889766 598.183858150756 2.5796887877192 -263.420915098314 -272.986165594073
5400 1626.26412752765 -8398.39316463647 625.00165484179 2.46899856970257 -277.385875357375 -274.109700962164
5500 1631.32120724831 -15751.9243005973 658.478961756542 2.34347379565432 -281.067191779337 -274.593304065265
5600 1563.67545549919 -26039.5091390556 667.682898799101 2.31116926109924 -285.261722837736 -274.410150027081
5700 1626.95990071842 -2124.25310991744 636.860857007785 2.42302250936935 -274.475955387053 -273.631570479346
5800 2273.0249729546 54161.2395713782 609.235841979443 2.53289134607118 -250.457043697394 -271.052133185299
5900 1890.03398805533 40218.4254073548 625.25372594778 2.4680031926671 -254.617763719839 -270.313113350608
6000 2093.80530917251 -4856.51958194522 658.539402807161 2.34325871054673 -271.801259221093 -269.805093689259
6100 2457.01496309846 -39856.0077875683 675.129921907027 2.28567589999163 -286.377075704366 -269.582432027376
6200 2555.31390365682 -6452.17372674324 664.451742277825 2.3224082257292 -272.877026002664 -270.201192176482
6300 2115.00698314613 19622.5089344462 646.764256580838 2.3859206444462 -262.9486272024 -270.869812791651
6400 2066.61106031258 -9626.42472717921 644.613180933999 2.39388246704828 -275.517572178578 -271.644515580626
6500 1900.37065632894 10240.9077052315 644.545220468519 2.39413487659473 -268.522870124524 -272.642720911667
6600 1916.66350867671 548.486461704914 660.3296715556 2.33690572805979 -273.452558012559 -273.678614183717
6700 1526.85171376148 -55794.067819122 669.723590385951 2.30412697718598 -297.555357771681 -274.232956387027
6800 1759.71761392915 25425.6417223328 647.506409134043 2.38318597329385 -264.08023812509 -274.355801380172
6900 1866.60886644108 -19145.7242400301 634.181993044306 2.43325765914377 -281.287396846808 -273.709034814398
7000 1827.9179821447 27446.6870417321 620.680422964644 2.48618795562369 -261.319920431229 -271.952719827576
7100 1951.2088072827 25162.601972777 631.417898144095 2.4439094875229 -260.940636890091 -270.857220518354
7200 2051.15440227849 -5764.31782612284 662.004047527825 2.33099510135738 -272.435118654173 -270.053357511047
7300 2319.1852081607 -11510.8482834893 690.15679754259 2.23590957498451 -274.331289519789 -269.372853175022
7400 2332.78330363369 -27939.1275705306 708.779537925141 2.17716244515668 -281.918226511578 -269.558363581699
7500 1750.89812105694 5663.47226035012 705.495900912028 2.18729575872978 -267.959629448199 -270.453459849909
7600 1749.25513661147 26195.7778753177 699.710263760077 2.2053816726565 -259.834152585072 -271.274499292529
7700 2160.03729157188 -12272.2539719876 710.894082313618 2.17068650627106 -277.460501568341 -272.015238374595
7800 1683.24606235177 -5379.85394871882 705.150537704061 2.18836703562686 -275.628395276613 -273.260611886514
7900 1771.31278148258 18230.6722713209 684.401078671893 2.25471326675963 -266.530889149806 -274.318477950045
8000 1350.90282768043 4144.47150618477 665.598844690465 2.31840575472115 -273.798391810262 -275.520146839355
8100 1808.08020998626 -2258.10327215557 649.790920253537 2.37480725533071 -277.096088324678 -276.180274740319
8200 1678.95909289513 40461.9184004287 639.396343246992 2.41341416503851 -260.431611233891 -276.579147205111
8300 1763.62207291247 11695.4189290786 647.865747412979 2.38186414087803 -271.943098578975 -276.67232867678
8400 1528.51531056961 -33014.2686241883 675.134232718255 2.28566130568303 -289.528524860336 -275.616784851451
8500 1830.44660821636 -4420.97639397788 689.821490888786 2.23699640015261 -275.564798362421 -273.661334838098
8600 1760.17532313175 -21730.5234556948 694.107691827031 2.22318267040709 -281.969256192815 -272.554985369329
8700 1867.87404416808 24043.2484075527 680.709806338254 2.26693985821517 -260.997556947723 -271.212708004581
8800 2367.21362282443 4041.15817814143 683.594569277438 2.25737339238551 -268.561729422993 -270.285955052421
8900 1994.63156383424 -16285.4266928538 689.239502925825 2.23888530085048 -277.402669666178 -270.396850145845
9000 2040.92298434448 -5220.35193931245 683.506905425091 2.25766291403656 -273.083514846909 -270.856452722811
9100 1851.53831725631 -32971.77488889 671.670597491938 2.29744788238202 -285.351720776906 -271.529166432868
9200 1860.85465504552 10430.0899352219 646.272671641204 2.38773548624199 -268.610782207822 -272.817985401661
9300 1815.88151647865 35467.0863556778 633.834630675272 2.43459116492595 -259.713822078738 -273.744902662793
9400 1834.71497007334 6879.89098388393 641.482059338273 2.40556718524279 -271.83888787406 -274.593469929386
9500 1601.77545257139 4372.67169306057 645.585501558168 2.39027702471891 -273.62495211151 -275.386888732171
9600 1513.52989474364 -8358.97889987595 646.478169022684 2.38697649171812 -279.022667519722 -275.649819787845
9700 1504.38183075949 6167.11527723537 636.716412821864 2.42357219131062 -272.39235868727 -274.84321445552
9800 2263.28280036449 -14066.0855190778 636.570197908481 2.42412886581281 -277.937523185259 -272.348843759068
9900 2462.87915257313 34317.1414366577 641.68344850647 2.40481220991094 -257.267281358823 -271.01154839804
