# step temp[K] press[bars] vol[A^3] density[gcc] enthalpy[eV] etotal[eV]
0 285.715873604181 1024276.23428239 287.546408878674 5.36653612849403 -80.4287106933959 -264.257990967867
100 321.92092714595 1009534.71311523 288.227943188843 5.35384659375336 -83.0605195389199 -264.673540288469
200 295.570652601075 987663.554101192 289.509736050548 5.33014265052797 -86.9344539785062 -265.403065179945
300 312.131174249255 975963.620228613 290.122166024009 5.31889104860199 -88.9315448444235 -265.659064853211
400 303.578220554744 987565.179730868 289.683835841175 5.3269392383777 -86.6060542557702 -265.164202754152
500 374.334105935381 1014745.04781906 288.127042886788 5.3557214775999 -81.4400247195807 -263.926467325697
600 341.996562429444 1030445.84141786 287.25075131829 5.37205972407101 -78.5108683220755 -263.257269321021
700 379.714411839633 1012481.35812796 288.286467605165 5.35275972086063 -81.8213706974185 -264.001470237506
800 300.980399819507 976587.044790963 290.234809907793 5.31682671818852 -88.5810569803734 -265.490127425058
900 314.690179868179 964621.091272816 290.791799989438 5.30664273174887 -91.028731387699 -266.105511904077
1000 300.576980778315 998740.66008796 288.937084052809 5.34070660027872 -84.9778851241738 -265.091133602598
1100 299.515630306328 1040966.77837413 286.706180213282 5.38226344028644 -77.4250873487138 -263.703945362529
1200 335.062739183734 1033759.6892243 286.838585358582 5.3797789789579 -78.7197916600828 -263.794386661211
1300 302.892526491146 983670.93059435 289.652836336012 5.32750934320566 -87.7231144078285 -265.558125137257
1400 253.353506489955 946168.80898955 291.917081120543 5.28618670049291 -94.4675623205999 -266.859828071302
1500 280.768867173177 969974.104924112 290.824097234074 5.30605340665465 -90.0727092392725 -266.140604009283
1600 282.182343648753 1045882.46033238 286.633927716091 5.38362016025744 -76.3347159105595 -263.446059470049
1700 313.319902558805 1087840.97936467 284.277577067259 5.42824449182999 -68.7211095179783 -261.739043464869
1800 367.734227338531 1034279.92870074 286.997577993271 5.37679865682456 -78.1373191012173 -263.407690064819
1900 347.408734803326 940946.47259273 292.312447958512 5.279036875245 -94.8986700884214 -266.571620479036
2000 369.656831439846 911601.63103875 293.785297552514 5.2525711964544 -100.262528937592 -267.419615827879
2100 344.785901255119 972969.065744168 290.331463330646 5.31505670850671 -89.2727608385194 -265.585128816052
2200 349.745791364548 1047940.67060085 286.094998377502 5.39376151494255 -76.0731361354324 -263.200200135728
2300 303.677506974415 1058927.33024388 285.528041989819 5.40447159274516 -74.307787135295 -263.02198136673
2400 298.367572107011 1005240.65286923 288.3672033456 5.35126107949498 -84.02147248547 -264.949376344505
2500 281.598059642022 949447.947391281 291.564134567952 5.2925857775778 -94.0966340156781 -266.877204132926
2600 285.461125809321 960106.887765387 290.95003046156 5.30375676338001 -92.0878694428962 -266.440151005941
2700 296.291506556532 1007716.98327707 288.334223174617 5.35187316606393 -83.3501879513555 -264.703049857059
2800 339.999741566865 1033333.93741347 286.898764066999 5.37865053857729 -78.5626982065982 -263.599883256066
2900 280.674685522365 1025652.39326148 287.670468716111 5.36422177345205 -79.7857812881645 -263.941462456458
3000 269.550963533634 996374.140150493 289.263198116874 5.3346855110225 -84.9771078970282 -264.866383704583
3100 325.596112258198 974778.873104897 290.408393528508 5.31364873141878 -88.9065877135433 -265.593717117777
3200 241.916823550673 992033.08475869 289.50567925257 5.33021734098648 -86.0611998168472 -265.316863624229
3300 282.215136820477 1019579.78700657 287.722367519085 5.36325418552578 -81.4529616106789 -264.551334475425
3400 248.041276535977 1030446.13266572 287.025660603709 5.37627259047299 -79.6627653827844 -264.264450618409
3500 231.117809305621 1012252.65789391 288.083423675207 5.35653239669175 -82.9219850016311 -264.93265068697
