# step temp[K] press[bars] vol[A^3] density[gcc] enthalpy[eV] etotal[eV]
0 320.316625932899 918064.191608433 293.495950773606 5.25774951170091 -99.4809995036123 -267.65730391659
100 302.252394250758 903840.052532324 294.25069386929 5.24426356170836 -102.107286008685 -268.103705631924
200 216.14173840862 886158.07756507 295.376090859962 5.22428266747467 -105.39299753317 -268.764454320328
300 263.455377413703 884403.755598291 295.327508826708 5.22514207361428 -105.767786414214 -268.789000330301
400 282.090802027452 908493.092889115 293.827399793236 5.25181856066523 -101.423667053519 -268.034626091879
500 279.093943103341 926793.260326774 292.870720460892 5.26897393306402 -98.1796736654611 -267.593349293709
600 265.932848269458 915780.531165777 293.498517525219 5.25770353076324 -100.269270427881 -268.028707840435
700 230.416186846523 887404.269957921 295.090671750417 5.22933572488959 -105.504147709776 -268.947265328884
800 295.983598327978 871994.519062147 295.983765221737 5.21355686758726 -108.277591123194 -269.368595144743
900 265.522558674366 891631.890431301 294.962975663898 5.23159962158937 -104.500251345817 -268.650952344391
1000 285.033335276314 925986.522285636 292.968922443185 5.26720779459254 -97.9597456254637 -267.282709500502
1100 291.410355871437 937307.704335587 292.681817093589 5.27237464626198 -95.6893660825184 -266.914522662183
1200 325.580161509702 909676.255930872 294.010307231349 5.24855133956876 -100.699899475784 -267.631692250986
1300 299.72570393552 874283.948380227 295.978222889043 5.21365449391395 -107.25441204669 -268.765337554582
1400 350.453339884569 867081.490276442 296.420301274338 5.20587889976521 -108.733525643943 -269.153152680755
1500 279.618878579254 893894.369604261 295.020845906087 5.23057340957302 -103.929272776437 -268.528786669781
1600 261.313074880839 924934.058895393 292.971187996136 5.26716706315323 -98.377019401819 -267.508841053598
1700 253.870808853331 928191.438947667 292.701902306787 5.27201285575771 -97.8029507813412 -267.374405539825
1800 256.97139287357 898573.629648809 294.534382859911 5.23921240325981 -103.237829095676 -268.426139786042
1900 331.16892695777 862209.445959892 296.640722363849 5.20201063282666 -109.88279016885 -269.519654695621
2000 244.359010068508 873072.93499374 296.033292675817 5.21268462042877 -107.843310698015 -269.160528677642
2100 268.167939853216 914110.997772687 293.560493452354 5.25659353449947 -100.270126606277 -267.759086515734
2200 313.979187318167 943495.905149335 292.050627083385 5.28376948639639 -94.8613848130771 -266.845289675912
2300 302.991973931446 928438.668722566 292.866035356303 5.26905822311809 -97.5706246024536 -267.282358596968
2400 298.350100549312 879709.081137245 295.722904851689 5.21815580243956 -106.453613665162 -268.826563772916
2500 320.393387932915 851778.655662159 297.417541375132 5.18842360383774 -111.485645072023 -269.604250333587
2600 386.74532931558 872730.088513928 296.159812147566 5.21045776155893 -107.339479997603 -268.662267511846
2700 397.476469146829 920271.785210515 293.310669204607 5.26107078222125 -98.4894104735435 -266.963691035151
2800 340.169785689653 944977.972581198 292.274798065338 5.27971690368307 -94.0900738768066 -266.476353486052
2900 350.460432559255 919290.051398188 293.536814736529 5.25701756780046 -99.0450353386832 -267.469346584294
