# step temp[K] press[bars] vol[A^3] density[gcc] enthalpy[eV] etotal[eV]
0 296.966998058617 479743.92181344 322.268732836277 4.78832736357976 -183.027106689114 -279.524880666402
100 307.180440242341 453485.151400391 324.238283881059 4.75924117718372 -188.369492508777 -280.14293148732
200 321.274959299114 422449.222971865 326.766543629034 4.72241795236534 -194.698434424468 -280.85765124564
300 306.412721213546 443695.05683643 324.978092299087 4.74840682628519 -190.421861802709 -280.418920886548
400 259.47954613933 479132.60664359 322.04100288654 4.79171340926977 -183.418251630781 -279.724960135833
500 261.601550162117 450897.138753479 324.306059073507 4.75824656583538 -189.237819385142 -280.506586663068
600 251.479942289162 422718.35017995 326.609885304749 4.72468305858618 -195.086268093453 -281.259041110961
700 244.809451571399 448931.123490687 324.277293700876 4.75866865131036 -189.811901286998 -280.674655661222
800 230.810171867572 471227.882008793 322.694351925132 4.7820117788245 -185.237180429108 -280.147183162191
900 217.776763444115 452016.130070586 324.442973887813 4.7562385875544 -188.858908714259 -280.392804939401
1000 241.999494450157 429254.801980678 326.612507455507 4.72464512730375 -193.222117791853 -280.72807435296
1100 325.091915003072 455487.307877098 324.253633689868 4.75901587996402 -187.792625847153 -279.975612352551
1200 327.532226424577 477439.916082717 322.424640502532 4.78601197929846 -183.401515986393 -279.482311894041
1300 293.789984262378 440757.964652514 325.432984962503 4.74176946766451 -190.818450231059 -280.34490382894
1400 272.743864743317 430876.253542897 326.61387465501 4.7246253500286 -192.797768685096 -280.634634764757
1500 327.035238552557 468841.415400037 322.88536539586 4.77918282228194 -185.223870430004 -279.709110804053
1600 312.125600198882 464712.266551117 323.133854178982 4.77550764771119 -186.231316333858 -279.956486922063
1700 270.16950374442 435352.62439977 325.57120572612 4.73975635659945 -192.387494893664 -280.853577651627
1800 266.76859135696 435532.879337991 325.287948970217 4.74388367829578 -192.515198681087 -280.940910223447
1900 260.714170795088 458340.805064181 323.55085383522 4.76935286547571 -187.947272155522 -280.506711659246
2000 280.453410019067 463698.839055046 322.995619823214 4.77755145011169 -186.755370595185 -280.236141241796
2100 350.630308149651 439420.269183068 325.053784661746 4.74730110732879 -191.357773447413 -280.508514052483
2200 295.287099451256 435613.530994139 326.018213567704 4.73325761459538 -191.83994930945 -280.480586081135
2300 385.806763040555 457180.046713737 323.814412676679 4.76547099652077 -187.420119714509 -279.820356713432
2400 315.152529083429 461691.20003364 323.77967617313 4.76598225714756 -186.537779016657 -279.839751201916
2500 336.232799433816 441539.632108695 325.326670418545 4.74331904568669 -190.691723202561 -280.347649607518
2600 315.514076629611 437819.121777352 325.494669567927 4.74087085332158 -191.568513112073 -280.514887230929
2700 296.348992483685 451860.112414263 324.242762750875 4.75917543625099 -188.875731876096 -280.32156897714
2800 313.324686971662 460083.063615247 323.423879731581 4.77122528227294 -187.341925625085 -280.216742746192
2900 284.463081865501 441907.172313189 325.01860485451 4.74781495218368 -191.055147303552 -280.700734178927
3000 259.59129056098 434781.015753906 325.841107673572 4.73583030356019 -192.501723303702 -280.924895013369
3100 206.882728891052 460455.67220419 323.68743068737 4.76734048211015 -187.178132030468 -280.203908829216
3200 296.119091247649 469820.085819756 323.078356483594 4.77632797399872 -185.019359300497 -279.758422799199
3300 278.263302435036 446910.118598181 325.032773021306 4.74760799510199 -189.437792304741 -280.102232295745
3400 335.189839665645 422624.15769973 327.219622897942 4.71587913401946 -194.268852642009 -280.583261516478
3500 325.348644462233 459775.269003207 324.052898078177 4.76196386768263 -186.731740163751 -279.724933101709
3600 384.355753771538 478940.565033041 322.046432905527 4.79163261627803 -182.987925955404 -279.257656876217
3700 294.290554025867 436175.498761078 325.865339103622 4.73547814600626 -191.809503898427 -280.522873999955
3800 256.927344911405 419731.149171868 327.28602176949 4.71492238966734 -195.331756835405 -281.072708612688
3900 303.285003054178 471975.541709327 322.577057267996 4.78375060190377 -184.820621204735 -279.84665694241
4000 292.966069406288 487757.263818727 321.356645235592 4.80191779054336 -181.678059841713 -279.510001572276
4100 265.881320717822 425463.078561986 326.641618704554 4.72422405321801 -194.244639509958 -280.985362944929
4200 303.929288811055 411550.162622759 327.66728090125 4.70943631485494 -197.036288167865 -281.203995496656
4300 358.467032512309 489009.622127584 321.156202071768 4.80491481064806 -181.291454731853 -279.313409877897
4400 313.444142629808 493867.389401118 320.876430859376 4.80910420168067 -180.253298603635 -279.162754102993
4500 311.558849711093 402279.589042266 328.547993530371 4.6968121012843 -198.766749832738 -281.259628624843
4600 275.726154386875 404132.763572726 328.110032038297 4.70308140924508 -198.371286973566 -281.133712963195
4700 314.305532743508 490132.940538152 321.421370342228 4.80095082110782 -180.867815097317 -279.196058831786
4800 314.694469606389 492843.223353001 321.19151128848 4.80438659688037 -180.293005998232 -279.094267742513
4900 278.804961399091 415955.025711575 327.235397860391 4.71565179670589 -195.98909250375 -280.945530406039
5000 271.807836939998 403880.380013404 328.223970526718 4.70144879848288 -198.713523142581 -281.452985334068
5100 270.447243537691 477626.55437711 321.964614214838 4.7928502814798 -183.906759434764 -279.887975810605
5200 267.091817060965 493788.117944544 320.650354211123 4.81249489233402 -180.726347723106 -279.550250660243
5300 206.474625204757 422372.705912152 326.767010270029 4.72241120849663 -195.081043080936 -281.224777139309
5400 276.955974642938 413596.410088147 327.44810558123 4.71258854628895 -196.741169485814 -281.270783394495
5500 311.650737275483 474375.555097026 322.342878509437 4.78722594710882 -184.196877682793 -279.636788282211
5600 310.913354106393 484186.409764907 321.74039446704 4.79619040196149 -182.071354462732 -279.30304302722
5700 306.058379567256 429850.711804136 326.566928976093 4.72530453926977 -192.942552492552 -280.557760225323
5800 325.357290973856 423126.638032584 326.871179356631 4.72090624478856 -194.329288340124 -280.654298843596
5900 331.337163302411 475407.584899521 322.469201957762 4.78535060867066 -183.813255666094 -279.498284442396
6000 345.756447566029 475354.904661448 322.359512084026 4.78697892886712 -183.879070044247 -279.52095165555
6100 321.653323893736 425646.346169372 326.583391881706 4.72506633902886 -194.023381984917 -280.785999882538
6200 304.257810116683 424170.163170441 326.630360513706 4.72438688626242 -194.361004193081 -280.835155646132
6300 352.631438815074 465776.81957837 323.031099509025 4.77702671418177 -185.923149374311 -279.833151271242
6400 286.742258404252 475301.508016638 322.278662584879 4.78817983011737 -184.026135193665 -279.633288542986
6500 345.102530703841 433204.497711994 325.815674330501 4.73619998496697 -192.523975881993 -280.619647953727
6600 270.468057385518 426608.332258266 326.451983322087 4.72696834665461 -193.865605418817 -280.789322105111
6700 326.495414604426 462823.098684639 323.371411000476 4.77199943894809 -186.526376377901 -279.939154848478
6800 309.591650170983 478374.181502763 322.055905722551 4.79149167721059 -183.413160871293 -279.571873908312
6900 337.432022503062 430669.496377763 325.849898140692 4.73570254485654 -193.036142035758 -280.625500341162
7000 310.20290301155 415971.836986801 327.515066435086 4.71162505182635 -195.987262096895 -281.01974374037
7100 302.572668579732 466042.742178484 323.287612583304 4.77323637468012 -185.73390987006 -279.772141912945
7200 348.517032638633 491821.610898766 321.189500887242 4.80441666867516 -180.405855482909 -279.001695410741
7300 318.007029372311 430729.919176778 326.314001247674 4.72896714810248 -192.706120619099 -280.43253739257
7400 253.634364620027 409655.916132707 328.303946923279 4.70030350328604 -197.07937436019 -281.022469360547
7500 331.918810648557 469990.683712169 322.894844416672 4.77904252281845 -184.927874545453 -279.647506679944
7600 299.025096786148 489169.645927967 321.468099944672 4.80025293997043 -181.175715252403 -279.32497448013
7700 310.529856585047 421843.372597852 326.93196985725 4.72002842836051 -194.895020853497 -280.974229214524
7800 276.993693091664 420430.774845874 326.861237253348 4.72104984008872 -195.373163730092 -281.145563490984
7900 282.148336280103 470952.06100632 322.444512346088 4.78571702349161 -185.215789913984 -279.996800401635
8000 283.42535970585 470023.545535523 322.52694525003 4.78449386816303 -185.412913580088 -280.031239549268
8100 256.839202738688 426163.705304749 326.602235745516 4.72479371840095 -194.198898260742 -281.071985555509
8200 317.993367569974 424795.861388804 326.640804315749 4.72423583176842 -194.128886632499 -280.733366122768
8300 341.699688826501 475072.552230497 322.703849201052 4.78187104271173 -183.680598527362 -279.367772352811
8400 378.804275149919 473199.835296464 322.732537203084 4.78144597764893 -184.018631183377 -279.337082957766
8500 347.640674703716 427418.828384176 326.739774390638 4.72280485209987 -193.366953954224 -280.532588674592
8600 328.465356315118 426560.004323347 326.714024308741 4.72317708164215 -193.67563267657 -280.659267514326
8700 349.314947495974 468991.683469938 322.895836335707 4.77902784185105 -185.24389002088 -279.762478870808
8800 296.8995977895 473843.382345787 322.426550337129 4.78598363023339 -184.44733559506 -279.804923956785
8900 292.582541683242 433142.517933767 325.844413390418 4.73578225819445 -192.819383203943 -280.910220680698
9000 276.806874415832 426855.866863345 326.332456616291 4.7286997066325 -194.117974135223 -281.060282710209
9100 286.691999040391 461868.906130639 323.210717433273 4.77437197664925 -186.985646646901 -280.159513889745
9200 290.158601253972 461389.392310514 323.541316126324 4.7694934617365 -186.904509521706 -280.076848046749
9300 265.021707036043 439931.953405184 325.741373575645 4.73728029978903 -190.980771129694 -280.424124456884
9400 344.856773611045 442702.637073941 325.292851374045 4.74381218446058 -190.252558491478 -280.135291838641
9500 316.719774021434 457032.377694435 324.235501279292 4.75928202117784 -187.348654886626 -279.839165190966
9600 349.091531194276 453350.67658612 324.414493691252 4.75665613551388 -188.146710381396 -279.942795400289
9700 303.183829735224 447942.978551595 324.926692971926 4.7491579646842 -189.350619568623 -280.194937070948
9800 324.406250631035 444162.147810273 325.048493932253 4.74737837790979 -190.225952877914 -280.337271579346
9900 282.070581146942 449325.462342604 324.722877901728 4.75213881398626 -189.312868772617 -280.380399251572
10000 263.807993672686 463903.931694895 323.31390820076 4.77284816002387 -186.490862110048 -280.105138181364
10100 262.107071523095 451475.38446605 324.034144102979 4.7622394736763 -189.072338428019 -280.3815292625
10200 264.069682540802 427977.650651298 326.208764991185 4.73049273187929 -193.881966162651 -281.019719626635
10300 232.269743176892 447645.15481813 324.54224127384 4.75478380197686 -189.855987467823 -280.532490237681
10400 275.927366408865 471524.94063551 322.553670925678 4.78409744163688 -184.87512875894 -279.803559262693
10500 284.832130982742 450314.956924808 324.84587730091 4.75033946771224 -188.852142361416 -280.154790505338
10600 306.007401795606 432800.432566555 326.503056578971 4.72622893039558 -192.21518844849 -280.414375068491
10700 341.257584083178 458542.271284457 323.991186674264 4.76287089073678 -186.942065346379 -279.66821294233
