# step temp[K] press[bars] vol[A^3] density[gcc] enthalpy[eV] etotal[eV]
0 293.401391117501 594671.70334022 306.232878876272 5.03906764527919 -180.228044107724 -293.890944356312
100 297.906039793532 597149.815364041 306.291892625036 5.03809676005766 -179.754155834354 -293.912706486259
200 311.883848469113 604564.256694889 305.878091891527 5.04491244313555 -178.249681510803 -293.669525244406
300 303.461188241996 605832.767646922 306.016454022723 5.04263143886877 -177.889825663478 -293.604165054977
400 308.892362761123 599092.57898305 306.258038062461 5.03865368441824 -178.869143334444 -293.386437688174
500 402.372180116992 589977.999528322 307.087405582604 5.02504552063446 -180.378278202292 -293.458711741273
600 347.534690991229 603266.769847479 306.380908238223 5.03663299629061 -177.833297070111 -293.194757468394
700 381.372893809571 605971.734607513 305.933391530564 5.04400053928718 -177.380365030171 -293.089831459204
800 285.066782744611 587811.595373029 307.122397510459 5.02447299309576 -181.085192246606 -293.763231436054
900 298.393116556334 589567.777620151 307.051072706786 5.0256401264545 -180.89246606525 -293.880903076792
1000 265.303258369465 613501.113554579 305.648375950714 5.04870404452909 -176.329474177582 -293.367527726558
1100 306.096479303646 610474.985787693 305.617252909898 5.04921818769528 -176.990318988571 -293.439217175908
1200 271.567681961241 584099.949027611 307.104871247179 5.02475973630554 -182.052153022339 -294.012314491196
1300 288.675766906323 582263.908750966 307.531702960613 5.0177857339923 -182.447771679892 -294.211120743299
1400 267.844073294358 615646.15453884 305.275814103993 5.05486553658146 -176.138200763592 -293.442306164487
1500 240.772749612631 634073.618133073 303.948669509862 5.07693682079452 -172.738212535405 -293.028225903378
1600 253.152745513118 594888.887130397 306.605247761428 5.032947750023 -180.291125019647 -294.133797552377
1700 269.115442012802 560013.165116185 308.68413479379 4.99905248741396 -187.054753900598 -294.949969781633
1800 300.258896748598 584872.733700472 306.977595278709 5.02684305173834 -182.300582704627 -294.362409435612
1900 304.038053908737 633579.635965299 303.90833321794 5.07761065820958 -172.952730988132 -293.133080111367
2000 284.639250086966 621724.943690276 304.520211717815 5.06740811442777 -175.114377512704 -293.2835127377
2100 331.913532039094 558801.506736018 308.990433174625 4.99409698873759 -186.84299114752 -294.611591938379
2200 332.304107584558 565195.552062545 308.946792609887 4.9948024345236 -185.381185429638 -294.367525578241
2300 312.381709606047 633252.684934395 304.573067371024 5.06652871570655 -172.328129512394 -292.709194065148
2400 339.517072493081 644788.060136263 303.356185770352 5.08685256556563 -170.158285275339 -292.242491699039
2500 298.394126980181 579164.506033449 307.775554416378 5.01381012794305 -182.740510524936 -293.997089898515
2600 268.019675809684 554118.980286073 309.859868061666 4.98008406677246 -187.746738078717 -294.912979826681
2700 245.819690690939 612774.786245231 305.624705681287 5.04909506064387 -176.746479004641 -293.636917539417
2800 213.166694742276 654032.171233081 302.639414780611 5.09890026381648 -169.143921706383 -292.685812097156
2900 232.334660853836 612065.008641369 305.1461367193 5.05701369336236 -177.175150281858 -293.747371137662
3000 266.481920054173 563956.939277304 308.604834793032 5.00033705855915 -186.362304618676 -294.989436570777
3100 259.614544547989 570500.435634828 308.351216765217 5.00444982203874 -185.011158245299 -294.808364416458
3200 264.727356589806 615567.012027194 305.247152483806 5.05534017044758 -176.249353467035 -293.527367209132
3300 303.397038606339 624742.281089377 304.454143971697 5.06850776190971 -174.391807351346 -293.108675556561
3400 279.791380023845 592691.602452045 306.864040256989 5.02870323474135 -180.360286086606 -293.878203591215
3500 272.489776219348 581415.956441859 307.616949769865 5.01639520520754 -182.432668809194 -294.064191970453
3600 342.23181055435 607468.480197652 305.985407888787 5.04314307833589 -177.448689187819 -293.463679229716
3700 300.508630335952 620386.759083961 304.917738391729 5.06080164442142 -174.945930592197 -293.014649929958
3800 313.290334976717 596085.635897441 306.688388346332 5.03158336116568 -179.58740526996 -293.690029412671
3900 297.056507371988 575001.858251615 308.179852313184 5.00723256333428 -183.780452825677 -294.382491836852
4000 239.739746697798 592881.63519382 306.982187175434 5.02676785928382 -180.563035114341 -294.161069480683
4100 257.003845657796 623293.819957126 304.679227725176 5.06476336896206 -174.958014343273 -293.487202426116
4200 241.774722561749 615625.968486673 304.819683355964 5.06242961372045 -176.512959008802 -293.637952902931
