# step temp[K] press[bars] vol[A^3] density[gcc] enthalpy[eV] etotal[eV]
0 2394.49220362575 437160.559831035 332.094204241739 4.64665800292871 -188.97973537304 -279.593028130087
100 2377.40503979571 334601.03388222 342.153275337939 4.51004945179028 -211.366439492906 -282.82226204071
200 2360.81736398595 252217.999104925 347.334358116052 4.44277439247898 -230.428538113172 -285.106644317092
300 2281.44084977464 406606.399364505 331.794824437584 4.65085070112783 -198.772123981433 -282.976266841065
400 1797.92791550346 415000.138549317 330.441291801285 4.66990122043858 -198.248277093398 -283.840084163311
500 1857.35737529561 270290.655594823 343.641561865564 4.49051675672981 -229.339131845185 -287.312209746573
600 2056.71046987454 303903.738121041 340.048015999552 4.53797146067794 -221.963624240394 -286.464547330271
700 1743.86301198249 424053.906857474 329.703498820907 4.68035127738919 -196.218960867256 -283.482790276553
800 1894.32078449391 348183.068942934 336.528197206682 4.58543505321307 -211.645325803764 -284.779228647337
900 1969.60899961267 290935.451966793 343.671879861569 4.49012061297447 -223.239857621557 -285.646423749448
1000 2121.42581086799 365317.131532913 336.767571670028 4.58217572497779 -206.64721743459 -283.434614625723
1100 2258.59755761273 389746.252278628 334.071207957446 4.61915949387259 -200.875741987739 -282.142070195404
1200 2364.66248553249 305746.325637061 342.903460935627 4.5001826101598 -218.265566226516 -283.702472353463
1300 2130.69332103116 314993.179661376 344.194243110287 4.48330622244507 -215.515656796596 -283.185379238818
1400 2203.19171971064 397419.601027078 335.826916838235 4.59501044881829 -197.14726568595 -280.449073760157
1500 2628.20169299152 380742.42948368 338.077477020252 4.56442175760109 -200.459957894232 -280.800944018047
1600 2045.71414115361 298243.53241832 347.187072868243 4.44465912603761 -219.093178175262 -283.721700077937
1700 2125.02914077847 325220.986725538 341.157999195729 4.5232068293987 -214.557681367803 -283.808317067269
1800 2231.75274448766 432222.750185368 328.800093428869 4.69321092878568 -193.846162240971 -282.547301374538
1900 1857.20357131532 354035.21389631 335.942318007593 4.59343199457009 -211.258586654817 -285.49223719996
2000 1516.78418515258 279522.18941159 345.426826456228 4.46730848237018 -227.074204855648 -287.338765478365
2100 1931.61001926894 339283.021778418 337.941423520641 4.56625937060322 -213.930031947678 -285.493799957122
2200 2028.12042498888 425557.061141754 329.755037888746 4.67961976182679 -195.64431651424 -283.231161546996
2300 1961.31210433993 322729.342232509 339.77921216051 4.54156151005835 -216.43648813779 -284.878836184239
2400 2176.54455213605 292019.777557237 344.403677698036 4.48057988863607 -221.433052641543 -284.205590717888
2500 2195.50421045308 396307.79727533 335.471296618279 4.5998814426797 -197.373232047098 -280.354033857566
2600 2309.54227202837 404358.167159717 337.231100431763 4.57587746174783 -194.567698326409 -279.678264908707
2700 2392.43426400187 291006.447572302 347.327847185853 4.44285767573482 -218.420134781887 -281.505970176733
2800 2330.75893712831 330178.553186603 342.724661458824 4.50253035570222 -211.969195233831 -282.598325583604
2900 2219.04002645011 373789.915535032 333.747601683313 4.62363829457677 -205.813557108869 -283.677317963697
3000 1827.65260372503 383730.876362695 333.508856964105 4.62694815937738 -204.81708668924 -284.694457227104
3100 1870.27121117212 307733.36543865 340.333309032631 4.534167390939 -221.337888796477 -286.70641377452
3200 1914.76814235633 319685.244895752 339.276618897842 4.54828923041928 -218.517328104017 -286.213820344266
3300 1802.30406490443 397738.488518575 333.46521164054 4.62755375373171 -201.842502252062 -284.624860657291
3400 1912.88031231028 360180.48715349 337.440124221436 4.57304298185205 -209.226805174704 -285.085706068089
3500 1946.24808795675 315908.991010385 342.761471987288 4.50204681091856 -217.2196431539 -284.803602082731
3600 1849.91375801522 376610.99074095 339.230629908154 4.54890583519513 -202.995011320996 -282.735279399692
3700 2014.83463011593 382268.765337946 336.878402756523 4.5806682151168 -201.550556766274 -281.927525902169
