# step temp[K] press[bars] vol[A^3] density[gcc] enthalpy[eV] etotal[eV]
0 2094.70944033152 134654.167734807 366.918459084605 4.2056433893131 -254.599164772443 -285.436653485188
100 2101.97884855953 152945.310905634 364.502414037291 4.23351981341953 -250.771544696489 -285.567296001534
200 2271.57501887946 139349.765906686 362.925614674635 4.25191314547898 -254.463406563076 -286.028967190417
300 1770.24333821827 148465.526414736 364.467452834114 4.23392590989042 -252.906914302088 -286.680254658818
400 1864.01268569485 134149.004101186 367.02542863017 4.20441765472615 -256.938654695992 -287.66941109552
500 1639.39972100783 162482.822211915 364.133004724691 4.23781467717498 -251.676470003366 -288.604585144346
600 1631.02467718454 171849.620800687 360.100341259905 4.28527278387764 -250.407808685623 -289.032209365394
700 1843.83858831737 140161.81329323 359.694005107785 4.29011373543384 -257.716951995993 -289.183749809225
800 2113.09024391046 138495.792585765 361.726395504496 4.2660093679753 -257.287986274532 -288.556441307162
900 1985.40698895672 133104.839717789 364.982767852247 4.22794807806052 -256.818767972965 -287.140628775897
1000 1722.86752633338 155632.345662272 367.701850363256 4.19668323763302 -250.017638241516 -285.735489225094
1100 2207.04131999549 142890.632632081 368.367060063159 4.1891047250575 -252.348897698566 -285.201833847139
1200 2402.68999961339 146261.955539088 365.445368312236 4.22259611332021 -251.123468983475 -284.484808518819
1300 2023.5915427121 193350.415874218 362.862132585463 4.25265701017363 -240.504730263762 -284.294877129856
1400 2274.45666786321 122949.717287528 368.596610703121 4.18649587939104 -257.520979598869 -285.806782741712
1500 1787.88012530128 105849.501928048 371.506640089489 4.1537028557401 -262.519406790912 -287.063389814278
1600 1964.67182997267 168098.813479636 363.4774620517 4.24545770501344 -248.311229573136 -286.446934408078
1700 1696.20478644226 214163.888637394 359.713318803939 4.28988339102116 -238.460579339594 -286.543673274447
1800 1293.44990117592 141384.723532976 369.256948735687 4.17900921607486 -256.333451193756 -288.918682352511
1900 1649.98430916775 103123.516640815 369.196967057095 4.17968815986368 -266.230834810873 -289.994065376326
2000 1878.41868035411 199503.241273625 354.647893086232 4.35115567284905 -244.725239168552 -288.886044286818
2100 1904.8157998216 206352.536404594 354.029826665977 4.35875193454263 -242.237407336116 -287.834726167969
2200 1676.616594284 117635.886827624 369.617047697247 4.17493782140183 -260.527076888917 -287.665303665101
2300 1529.58195730039 131147.965174645 374.983906697449 4.11518511676069 -255.756121396931 -286.450852181341
2400 2396.49185813753 154475.053923838 364.124019257879 4.23791925347624 -249.627721947512 -284.735013503608
2500 2127.93352212313 215216.818527013 357.904811775721 4.31156033977301 -235.335710629838 -283.41227081274
2600 2237.09714967745 136547.013649399 371.719123236134 4.15132850425306 -253.171646205632 -284.851761470253
2700 2220.76225638687 92264.9425817622 378.823693419852 4.0734732770684 -264.1085256329 -285.923941301519
2800 2145.07063685185 164974.082634596 366.395394200827 4.21164735225986 -247.965255642827 -285.692524791902
2900 1672.88848684544 190303.411819867 357.784896862137 4.31300539905328 -243.141613878636 -285.638608791796
3000 1515.37059698824 171669.704299743 362.015124079081 4.26260697199223 -248.671728080179 -287.460856058707
3100 1847.06138796844 94343.1676491491 368.223004935446 4.19074357436371 -267.23492670693 -288.91750954777
3200 1855.93552771641 136425.055898665 361.156757276552 4.27273797533985 -257.955063247907 -288.707499574139
3300 1747.68613701388 186047.7174314 355.824703598394 4.33676520000081 -246.623806277948 -287.942833183027
3400 1944.85054865623 173153.575445769 361.247791196851 4.27166125155694 -248.511722985679 -287.553206035531
3500 2080.77768947361 138091.52667673 369.421119225611 4.17715206726908 -253.83667122556 -285.677062306375
3600 2191.89839345219 126319.007503894 371.236043912883 4.15673051463786 -255.108113445416 -284.377153789441
3700 2148.20413162466 143692.798216837 367.803452081017 4.19552394936797 -250.764831510485 -283.751651141989
3800 2251.0411172979 176213.178406713 365.096956719647 4.2266257317808 -243.893074708657 -284.047761267964
3900 2162.58447471406 121427.677919031 368.042727201693 4.19279631905473 -257.576427412763 -285.470091899222
4000 2152.95764636819 150773.919517039 366.051005881126 4.215609756765 -251.964799598235 -286.412280821341
4100 2059.70870144256 150192.969843652 363.86452759351 4.24094154511819 -252.998847359093 -287.108631156338
4200 2140.73599093118 125129.601873023 363.871372688518 4.24086176514653 -259.26579059187 -287.684057866109
4300 2104.39135212099 131373.450108397 363.808402073845 4.2415958044666 -257.978568039035 -287.809716454247
4400 1684.00370810505 157843.750636836 362.097912659974 4.26163238702562 -251.743996600673 -287.41727768551
4500 1931.10850889066 149765.947072524 363.227334562505 4.24838123409618 -252.387976697516 -286.341218280689
4600 2159.49052333757 170598.064464275 367.289685434795 4.20139266922068 -245.339244966861 -284.447863419865
4700 2495.34071587553 94298.6507631648 372.573582389919 4.1418078597187 -261.463103373442 -283.391515211569
4800 2440.17857389764 135135.275300696 368.991235852188 4.18201854659841 -251.859280577669 -282.981776907149
4900 2384.07881501229 191938.573924191 364.007145182317 4.23927994900547 -239.700780137695 -283.308342940239
5000 2278.25783413442 130506.611323177 367.834375261438 4.19517123914627 -255.01458665115 -284.976839775913
5100 1807.86105874352 135444.49274557 370.404739807864 4.16605951820857 -255.150127996144 -286.463333559845
5200 2008.83095792091 166456.194818499 364.165439081016 4.23743723665886 -248.707829142687 -286.542358156085
5300 2144.74125565595 164246.416774161 361.750865206532 4.2657208048006 -249.433808831186 -286.518539118471
5400 2015.96498026671 146394.916692181 364.600812906514 4.23237726642641 -253.798025841489 -287.11252373317
5500 1520.50026300851 140174.984302038 368.333147425988 4.18949041825292 -255.071433874866 -287.297030217315
5600 1703.97532747235 158273.313788728 364.705624013842 4.23116094257858 -250.492117726449 -286.52008822162
5700 2224.83780662878 183779.597581226 361.77059552509 4.26548816004892 -243.31335943327 -284.810694129117
5800 2038.47297214331 154140.496791611 368.732660415475 4.18495120591536 -247.824897666768 -283.299538232108
5900 2331.64694748729 103074.265591652 373.773987502992 4.12850611187534 -258.052183411595 -282.098522413031
6000 2255.29983899123 217851.843146151 367.521162495827 4.19874649227482 -231.52754580096 -281.500293900144
6100 1947.21079979779 129839.063861315 371.308585643371 4.15591842346528 -252.849079714732 -282.939621651656
6200 2176.73664580936 140392.75998045 369.765300994044 4.17326392638171 -251.909886764699 -284.311043036531
6300 1986.71991605129 160603.024975276 363.998504889995 4.23938057749021 -248.532773370738 -285.020177206589
6400 1938.06594943211 177359.946537119 363.730143643647 4.24250840584154 -245.371997149242 -285.636698841332
6500 1985.92031167729 129477.902227046 367.090180569964 4.20367602715544 -256.824954792025 -286.490891415329
6600 1892.81810351576 138090.314687928 366.927740950225 4.2055370026532 -255.462720727569 -287.087930069703
6700 1960.02066860838 162662.733516565 362.20941668445 4.26032046872614 -250.095532706209 -286.86924260854
6800 1927.82090087765 170166.8745088 359.693003059574 4.29012568701689 -248.435401794722 -286.638330194516
6900 1957.16932082754 158642.305360613 365.291294145982 4.22437713845279 -250.910015741505 -287.079971443315
7000 1969.69498061593 101736.134173546 370.029193636603 4.17028769189922 -263.456864813217 -286.953239708207
7100 1939.3766780019 160337.348240226 362.275331622706 4.25954531586274 -248.894241980396 -285.148840649914
7200 2319.39423588496 205829.851820387 358.035783252821 4.30998314706568 -237.332122197161 -283.328585266819
7300 2585.53919976373 130971.676407539 369.199170815232 4.17966321121124 -253.587005154727 -283.767596575175
7400 1982.78083824848 83581.6844125211 376.442945751325 4.09923524741913 -264.981209356681 -284.619330057557
7500 2020.73610141011 159817.384227151 365.108969745471 4.22648666490414 -248.259331219525 -284.679014383391
7600 2044.70990257463 221187.617802654 353.484438797564 4.36547701255344 -236.417465015539 -285.217569715578
7700 1689.81343139922 176850.730860441 361.555378225813 4.26802720910528 -247.757993765941 -287.66703804774
7800 1577.20815554373 79730.8883569761 374.796480459441 4.11724301672868 -270.219977077311 -288.871390538998
7900 1919.19847122747 127338.453700657 367.309691549894 4.20116383358893 -258.996467469408 -288.189660698262
8000 2038.10076212212 208209.498632962 353.176947687742 4.36927778545292 -240.398372733278 -286.29518572909
8100 1753.75089014837 203368.276591532 358.182757045768 4.30821462371217 -240.724046343066 -286.189080941439
8200 1913.14453922186 91628.7204763007 377.094751477126 4.09214974703705 -265.292008929926 -286.858115770326
8300 1908.66534663096 91102.6222976015 379.177679200939 4.0696704381915 -264.280550146348 -285.84127138519
8400 2152.01798192199 188852.484270741 363.591070013751 4.24413116583902 -241.240698683968 -284.098072282166
8500 1931.09984473971 219931.804088423 358.832047937008 4.30041909784216 -234.544492738566 -283.801599972088
8600 2031.32722006292 126443.344707476 370.963606020862 4.15978324240071 -255.412845558268 -284.689195017908
8700 2118.55352161376 117561.793547892 374.874778630689 4.11638306930845 -257.33348535676 -284.840411923024
8800 1937.56230617989 144282.877375212 367.893758671939 4.19449407741154 -251.741222167074 -284.871635744834
8900 2133.37033027927 187371.787860736 360.778679316031 4.27721559043235 -242.544891174306 -284.737337615431
9000 2028.34904049626 162384.214876908 362.901723156664 4.25219306881041 -248.566134805774 -285.34704589283
9100 1851.45232098386 118149.905965923 369.31218959666 4.17838412956645 -259.241440782275 -286.475768880905
9200 1868.145785532 117839.886751778 368.562327052713 4.18688530704175 -260.005021688751 -287.112736026631
9300 1943.17415417569 144273.156466465 362.518898042838 4.25668344518628 -254.799188914393 -287.443373683915
9400 1790.34537217423 181616.463554643 358.809179999552 4.30069317587706 -247.11410465759 -287.78731036399
9500 1939.32259715577 140622.781531847 360.790177560281 4.2770792772159 -257.270312812389 -288.936810428535
9600 1786.0970434034 123595.336784126 364.200776590784 4.23702608849727 -262.036213043458 -290.131443275445
9700 1547.71226337931 147859.797238336 361.711578658676 4.26618411715891 -256.984818408665 -290.366034947061
9800 1411.22005735212 184031.970174171 357.82492781579 4.31252289013394 -248.173921203806 -289.275027382414
9900 1735.24543104695 156124.715701902 360.849697035562 4.27637380478122 -252.456994737326 -287.620134604123
